statement,veracity,light_normalization,full_normalization
"Says a Washington Post reporter is ""calling to find out if anyone at this address is a female between the ages of 54 to 57 years old willing to make damaging remarks about candidate Roy Moore"" for up to $7,000.",0,"says a washington post reporter is ""calling to find out if anyone at this address is a female between the ages of 54 to 57 years old willing to make damaging remarks about candidate roy moore"" for up to $7,000.",washington post reporter find address female age year old willing damaging remark candidate roy moore
"""When we came into office, we saw that Missouri had 113,000 regulations. That’s more than 7.5 million words; it’s 40 dictionaries worth of regulations.""",1,"""when we came into office, we saw that missouri had 113,000 regulations. thats more than 7.5 million words; its 40 dictionaries worth of regulations.""",come office missouri regulation million word dictionary worth regulation
"""Breaking! Roy Moore’s accuser worked for Democratic leaders and is actively campaigning for Moore’s opponent.""",0,"""breaking! roy moores accuser worked for democratic leaders and is actively campaigning for moores opponent.""",break roy moore accuser work democratic leader actively campaign moore opponent
"""There are ‘sore loser’ laws that would bar Luther Strange from pursuing a seat"" because he already lost the Alabama Republican Senate runoff to Roy Moore.",0,"""there are sore loser laws that would bar luther strange from pursuing a seat"" because he already lost the alabama republican senate runoff to roy moore.",sore loser law bar luther strange pursue seat lose alabama republican senate runoff roy moore
"Says a Washington Post reporter who broke news on Judge Roy Moore story has a criminal history of ""faking.""",0,"says a washington post reporter who broke news on judge roy moore story has a criminal history of ""faking.""",washington post reporter break news judge roy moore story criminal history fake
"""Second Roy Moore Accuser Works For Michelle Obama Right NOW""",0,"""second roy moore accuser works for michelle obama right now""",second roy moore accuser work michelle obama right
"""Hispanic entrepreneurs, those who have immigrated from Spanish-speaking countries, often start three times as many businesses as white males.""",1,"""hispanic entrepreneurs, those who have immigrated from spanish-speaking countries, often start three times as many businesses as white males.""",hispanic entrepreneur immigrate spanish speak country start time business white male
"The Republican tax bill is ""not being scored by the Congressional Budget Office, as it is traditionally.""",0,"the republican tax bill is ""not being scored by the congressional budget office, as it is traditionally.""",republican tax bill score congressional budget office traditionally
"""Snapchat is shutting down!'",0,"""snapchat is shutting down!'",snapchat shut
"""Many firearms experts determined the Las Vegas shooter’s use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""",0,"""many firearms experts determined the las vegas shooters use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""",firearm expert determine las vegas shooter use bump stock actually prevent casualty injury inconsistency inaccuracy lack control
"""Underreported fact: President @realDonaldTrump raised more in small dollar donations than Obama in 2012 and than Clinton and Bernie combined!""",1,"""underreported fact: president @realdonaldtrump raised more in small dollar donations than obama in 2012 and than clinton and bernie combined!""",underreported fact president raise small dollar donation obama clinton bernie combine
"""In 2010, 48,000 felons and fugitives lied and illegally tried to purchase guns. They [The Obama administration] prosecuted only 44 of them.""",1,"""in 2010, 48,000 felons and fugitives lied and illegally tried to purchase guns. they [the obama administration] prosecuted only 44 of them.""",felon fugitive lie illegally try purchase gun obama administration prosecute
"""The Democrats filibustered the legislation that would’ve resulted in this shooter being in federal prison instead of murdering those innocents in that Texas church.""",0,"""the democrats filibustered the legislation that wouldve resulted in this shooter being in federal prison instead of murdering those innocents in that texas church.""",democrats filibuster legislation ve result shooter federal prison instead murder innocent texas church
"Malia Obama was ""among 10 arrested in racist Antifa attack,"" and the cop who arrested her was ""found dead under suspicious circumstances.""",0,"malia obama was ""among 10 arrested in racist antifa attack,"" and the cop who arrested her was ""found dead under suspicious circumstances.""",malia obama arrest racist antifa attack cop arrest find dead suspicious circumstance
"""CPS students are learning and growing faster than 96 percent of students in the United States.""",1,"""cps students are learning and growing faster than 96 percent of students in the united states.""",cps student learn grow fast percent student united state
"Since 1965, California has built ""six (college) campuses but 23 prisons.""",0,"since 1965, california has built ""six (college) campuses but 23 prisons.""",california build college campus prison
"""Supreme Court issues its first bench warrant ever.""",0,"""supreme court issues its first bench warrant ever.""",supreme court issue bench warrant
